stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1133,-117.186897,54.335701,105.0469680933694,118.20550976695705,30.752768724023483,4982.025214491511,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.0251e-08,3.983836381753605e-08,1.0,0.685,0.6713698119651285
5B.1135,-117.277603,54.3307,240.84665501112582,124.19571487433733,28.68040540168792,4648.534080837255,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.1162e-08,-1.785865024047319e-08,1.0,0.8426,0.7994707582322986
5B.1136,-117.2668,54.3344,241.29693186692288,136.8338243081088,23.38744465321966,4136.041502627635,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.6126e-08,-1.3216980792934002e-08,1.0,1.0499,0.9349923639581516
5B.1138,-117.245003,54.336601,210.84985038011945,160.241419174574,11.312032537980821,3623.0846176739065,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-5.2692e-09,-8.905365713847228e-10,1.0,1.6204,1.977564850614672
5B.1139,-117.230698,54.3368,149.16316777256833,160.77993013261738,11.011795310250962,3616.341172634493,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.9174e-08,1.5381609325278032e-08,1.0,1.0296,0.963007337704255
5B.1140,-117.221397,54.340801,106.87466957217113,156.35886006105503,13.454745456965806,3677.750213718411,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.8995e-08,1.69718824199927e-08,1.0,1.0728,0.9524440463963731
5B.1141,-117.21199,54.340801,100.89311544858654,144.81513004617472,19.53238435772445,3908.136406096377,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.5691e-08,2.2954296856509962e-08,1.0,1.0392,0.9091416445298314
5B.1142,-117.193703,54.340698,96.63588768534696,125.4229913955848,28.21807716302582,4588.6524762712625,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.8268e-08,2.7826981166462057e-08,1.0,0.9849,0.8678381134432174
5B.1143,-117.288597,54.3372,257.68057340972115,118.6979773736256,30.594489224559922,4951.688614276441,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-4.1778e-09,-1.7160401188817332e-09,1.0,1.7027,2.014521696182882
5B.1146,-117.260399,54.343601,269.58061565942194,149.2104822782652,17.278271240725367,3807.7130468752325,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2869e-08,6.796484731928271e-09,1.0,1.2947,1.3456422808440764
5B.1147,-117.252853,54.34013,247.9838299824,157.40197843665413,12.883075489194187,3662.0050303346625,5395.0,3316.8,2265.0,1.0,1.0,-1.0,1.0,1.1865e-09,-1.7145837270685308e-09,1.0,1.6705,1.7080767708555886
5B.1148,-117.241898,54.3409,220.90047038461822,171.02934557763786,5.190924862833566,3524.9726701168997,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.6751e-09,2.4510360837005916e-09,1.0,1.0633,1.2482240870450882
5B.1149,-117.233803,54.3442,77.75578863675342,174.28482222500122,3.3124809726768225,3510.1116923978216,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.3622e-09,4.673802497221868e-09,1.0,0.8841,0.9292534048782898
